"analysisId","Eval","predictionThreshold","preferenceThreshold","positiveCount","negativeCount","trueCount","falseCount","truePositiveCount","trueNegativeCount","falsePositiveCount","falseNegativeCount","f1Score","accuracy","sensitivity","falseNegativeRate","falsePositiveRate","specificity","positivePredictiveValue","falseDiscoveryRate","negativePredictiveValue","falseOmissionRate","positiveLikelihoodRatio","negativeLikelihoodRatio","diagnosticOddsRatio"
"Analysis_1002","train",0.0026657387,0.515918840372149,20496,40264,152,60608,106,40218,20390,46,0.0102673382409919,0.66366030283081,0.697368421052632,0.302631578947368,0.336424234424498,0.663575765575502,0.00517174082747853,0.994828259172521,0.998857540234453,0.00114245976554739,2.0728840246767,0.456061831439706,4.54518199458388
"Analysis_1002","train",0.0026657387,0.515918840372149,20496,40264,152,60608,106,40218,20390,46,0.0102673382409919,0.66366030283081,0.697368421052632,0.302631578947368,0.336424234424498,0.663575765575502,0.00517174082747853,0.994828259172521,0.998857540234453,0.00114245976554739,2.0728840246767,0.456061831439706,4.54518199458388
"Analysis_1002","train",0.0026657387,0.515918840372149,20496,40264,152,60608,106,40218,20390,46,0.0102673382409919,0.66366030283081,0.697368421052632,0.302631578947368,0.336424234424498,0.663575765575502,0.00517174082747853,0.994828259172521,0.998857540234453,0.00114245976554739,2.0728840246767,0.456061831439706,4.54518199458388
"Analysis_1002","train",0.0026657387,0.515918840372149,20496,40264,152,60608,106,40218,20390,46,0.0102673382409919,0.66366030283081,0.697368421052632,0.302631578947368,0.336424234424498,0.663575765575502,0.00517174082747853,0.994828259172521,0.998857540234453,0.00114245976554739,2.0728840246767,0.456061831439706,4.54518199458388
"Analysis_1002","train",0.0026657387,0.515918840372149,20496,40264,152,60608,106,40218,20390,46,0.0102673382409919,0.66366030283081,0.697368421052632,0.302631578947368,0.336424234424498,0.663575765575502,0.00517174082747853,0.994828259172521,0.998857540234453,0.00114245976554739,2.0728840246767,0.456061831439706,4.54518199458388
"Analysis_1002","train",0.0026657387,0.515918840372149,20496,40264,152,60608,106,40218,20390,46,0.0102673382409919,0.66366030283081,0.697368421052632,0.302631578947368,0.336424234424498,0.663575765575502,0.00517174082747853,0.994828259172521,0.998857540234453,0.00114245976554739,2.0728840246767,0.456061831439706,4.54518199458388
"Analysis_1002","train",0.0026657387,0.515918840372149,20496,40264,152,60608,106,40218,20390,46,0.0102673382409919,0.66366030283081,0.697368421052632,0.302631578947368,0.336424234424498,0.663575765575502,0.00517174082747853,0.994828259172521,0.998857540234453,0.00114245976554739,2.0728840246767,0.456061831439706,4.54518199458388
"Analysis_1002","train",0.0026657387,0.515918840372149,20496,40264,152,60608,106,40218,20390,46,0.0102673382409919,0.66366030283081,0.697368421052632,0.302631578947368,0.336424234424498,0.663575765575502,0.00517174082747853,0.994828259172521,0.998857540234453,0.00114245976554739,2.0728840246767,0.456061831439706,4.54518199458388
"Analysis_1002","train",0.0026657387,0.515918840372149,20496,40264,152,60608,106,40218,20390,46,0.0102673382409919,0.66366030283081,0.697368421052632,0.302631578947368,0.336424234424498,0.663575765575502,0.00517174082747853,0.994828259172521,0.998857540234453,0.00114245976554739,2.0728840246767,0.456061831439706,4.54518199458388
"Analysis_1002","train",0.0026657387,0.515918840372149,20496,40264,152,60608,106,40218,20390,46,0.0102673382409919,0.66366030283081,0.697368421052632,0.302631578947368,0.336424234424498,0.663575765575502,0.00517174082747853,0.994828259172521,0.998857540234453,0.00114245976554739,2.0728840246767,0.456061831439706,4.54518199458388
"Analysis_1002","train",0.0026657387,0.515918840372149,20496,40264,152,60608,106,40218,20390,46,0.0102673382409919,0.66366030283081,0.697368421052632,0.302631578947368,0.336424234424498,0.663575765575502,0.00517174082747853,0.994828259172521,0.998857540234453,0.00114245976554739,2.0728840246767,0.456061831439706,4.54518199458388
"Analysis_1002","train",0.0026657387,0.515918840372149,20496,40264,152,60608,106,40218,20390,46,0.0102673382409919,0.66366030283081,0.697368421052632,0.302631578947368,0.336424234424498,0.663575765575502,0.00517174082747853,0.994828259172521,0.998857540234453,0.00114245976554739,2.0728840246767,0.456061831439706,4.54518199458388
"Analysis_1002","train",0.0026657387,0.515918840372149,20496,40264,152,60608,106,40218,20390,46,0.0102673382409919,0.66366030283081,0.697368421052632,0.302631578947368,0.336424234424498,0.663575765575502,0.00517174082747853,0.994828259172521,0.998857540234453,0.00114245976554739,2.0728840246767,0.456061831439706,4.54518199458388
"Analysis_1002","train",0.0026657387,0.515918840372149,20496,40264,152,60608,106,40218,20390,46,0.0102673382409919,0.66366030283081,0.697368421052632,0.302631578947368,0.336424234424498,0.663575765575502,0.00517174082747853,0.994828259172521,0.998857540234453,0.00114245976554739,2.0728840246767,0.456061831439706,4.54518199458388
"Analysis_1002","train",0.0026657387,0.515918840372149,20496,40264,152,60608,106,40218,20390,46,0.0102673382409919,0.66366030283081,0.697368421052632,0.302631578947368,0.336424234424498,0.663575765575502,0.00517174082747853,0.994828259172521,0.998857540234453,0.00114245976554739,2.0728840246767,0.456061831439706,4.54518199458388
"Analysis_1002","train",0.0026657387,0.515918840372149,20496,40264,152,60608,106,40218,20390,46,0.0102673382409919,0.66366030283081,0.697368421052632,0.302631578947368,0.336424234424498,0.663575765575502,0.00517174082747853,0.994828259172521,0.998857540234453,0.00114245976554739,2.0728840246767,0.456061831439706,4.54518199458388
